Primitive Index,duration,collected,total,percentage,totalDuration
0,6.1663336753845215,253,253,1.2649999856948853,6.1663336753845215
1,1.0589969158172607,0,253,1.2649999856948853,7.225330352783203
2,0.0003083710907958448,0,253,1.2649999856948853,7.2256388664245605
3,0.8501244187355042,0,253,1.2649999856948853,8.075763702392578
4,7.419999747071415e-05,0,253,1.2649999856948853,8.075838088989258
5,3.5224673748016357,0,253,1.2649999856948853,11.598305702209473
6,11.58224868774414,412,665,3.325000047683716,23.180553436279297
7,1.6346189975738525,0,665,3.325000047683716,24.81517219543457
8,1.0728836059570312e-05,0,665,3.325000047683716,24.815183639526367
9,4.361884117126465,0,665,3.325000047683716,29.177066802978516
10,17.04963493347168,566,1231,6.154999732971191,46.22669982910156
11,0.2735244035720825,0,1231,6.154999732971191,46.50022506713867
12,0.00033813342452049255,0,1231,6.154999732971191,46.50056457519531
13,3.5225279331207275,0,1231,6.154999732971191,50.023094177246094
14,24.836151123046875,863,2094,10.470000267028809,74.85924530029297
15,0.06830568611621857,0,2094,10.470000267028809,74.92755126953125
16,0.0001773238182067871,0,2094,10.470000267028809,74.92772674560547
17,4.972137928009033,0,2094,10.470000267028809,79.89986419677734
18,25.537202835083008,577,2671,13.355000495910645,105.43706512451172
19,4.814797401428223,0,2671,13.355000495910645,110.25186157226562
20,24.145734786987305,716,3387,16.934999465942383,134.39759826660156
21,2.9140052795410156,0,3387,16.934999465942383,137.3115997314453
22,0.0025769092608243227,0,3387,16.934999465942383,137.31417846679688
23,4.79705286026001,0,3387,16.934999465942383,142.11123657226562
24,15.068903923034668,415,3802,19.010000228881836,157.18014526367188
25,3.0589852333068848,0,3802,19.010000228881836,160.2391357421875
26,0.037674203515052795,0,3802,19.010000228881836,160.2768096923828
27,4.10935115814209,0,3802,19.010000228881836,164.3861541748047
28,0.016628531739115715,0,3802,19.010000228881836,164.4027862548828
29,0.7588731050491333,0,3802,19.010000228881836,165.1616668701172
30,0.0007232030038721859,0,3802,19.010000228881836,165.16238403320312
31,4.107755184173584,0,3802,19.010000228881836,169.2701416015625
32,0.0025709469337016344,0,3802,19.010000228881836,169.272705078125
33,2.656984567642212,0,3802,19.010000228881836,171.9296875
34,7.70886690588668e-05,0,3802,19.010000228881836,171.9297637939453
35,4.942627429962158,0,3802,19.010000228881836,176.8723907470703
36,0.04694800451397896,0,3802,19.010000228881836,176.91934204101562
37,0.29404380917549133,0,3802,19.010000228881836,177.21337890625
38,0.04918018728494644,0,3802,19.010000228881836,177.26255798339844
39,0.3355228006839752,0,3802,19.010000228881836,177.59808349609375
40,19.304458618164062,474,4276,21.3799991607666,196.9025421142578
41,0.7329548001289368,0,4276,21.3799991607666,197.635498046875
42,8.822918607620522e-05,0,4276,21.3799991607666,197.63558959960938
43,2.1673190593719482,0,4276,21.3799991607666,199.8029022216797
44,0.0006635983590967953,0,4276,21.3799991607666,199.80355834960938
45,0.7571078538894653,0,4276,21.3799991607666,200.5606689453125
46,0.00024318693613167852,0,4276,21.3799991607666,200.5609130859375
47,4.155837059020996,0,4276,21.3799991607666,204.7167510986328
48,4.267604351043701,140,4416,22.079999923706055,208.98435974121094
49,1.0386918783187866,0,4416,22.079999923706055,210.02305603027344
50,0.0005996227264404297,0,4416,22.079999923706055,210.02365112304688
51,1.034697413444519,0,4416,22.079999923706055,211.058349609375
52,0.00014623005699831992,0,4416,22.079999923706055,211.05850219726562
53,3.6452338695526123,0,4416,22.079999923706055,214.7037353515625
54,1.7884341478347778,50,4466,22.329999923706055,216.49217224121094
55,0.9012650847434998,0,4466,22.329999923706055,217.3934326171875
56,0.00039736428880132735,0,4466,22.329999923706055,217.39382934570312
57,4.331240177154541,0,4466,22.329999923706055,221.72506713867188
58,1.2353706359863281,7,4473,22.364999771118164,222.96043395996094
59,1.7142499685287476,0,4473,22.364999771118164,224.6746826171875
60,21.085094451904297,538,5011,25.05500030517578,245.75978088378906
61,4.646592140197754,0,5011,25.05500030517578,250.4063720703125
62,12.550963401794434,318,5329,26.64499855041504,262.95733642578125
63,0.8643866181373596,0,5329,26.64499855041504,263.82171630859375
64,4.73240070277825e-05,0,5329,26.64499855041504,263.82177734375
65,3.108684539794922,0,5329,26.64499855041504,266.9304504394531
66,7.636269569396973,126,5455,27.274999618530273,274.56671142578125
67,4.356851577758789,0,5455,27.274999618530273,278.9235534667969
68,19.251556396484375,363,5818,29.09000015258789,298.17510986328125
69,1.5737613439559937,0,5818,29.09000015258789,299.7488708496094
70,0.00036160170566290617,0,5818,29.09000015258789,299.7492370605469
71,2.94169282913208,0,5818,29.09000015258789,302.69091796875
72,0.0005447864532470703,0,5818,29.09000015258789,302.69146728515625
73,4.331733703613281,0,5818,29.09000015258789,307.023193359375
74,21.785457611083984,565,6383,31.915000915527344,328.80865478515625
75,1.1617456674575806,0,6383,31.915000915527344,329.97039794921875
76,0.00038902286905795336,0,6383,31.915000915527344,329.9707946777344
77,2.0071074962615967,0,6383,31.915000915527344,331.9779052734375
78,0.0001418590545654297,0,6383,31.915000915527344,331.9780578613281
79,2.693732738494873,0,6383,31.915000915527344,334.6717834472656
80,7.094338417053223,244,6627,33.1349983215332,341.76611328125
81,1.130292296409607,0,6627,33.1349983215332,342.8963928222656
82,6.359814869938418e-05,0,6627,33.1349983215332,342.8964538574219
83,1.141675591468811,0,6627,33.1349983215332,344.0381164550781
84,0.0004227955942042172,0,6627,33.1349983215332,344.0385437011719
85,4.073132038116455,0,6627,33.1349983215332,348.1116638183594
86,12.163005828857422,268,6895,34.474998474121094,360.274658203125
87,1.1613354682922363,0,6895,34.474998474121094,361.4360046386719
88,0.0002519353001844138,0,6895,34.474998474121094,361.4362487792969
89,1.5626857280731201,0,6895,34.474998474121094,362.9989318847656
90,0.00011682509648380801,0,6895,34.474998474121094,362.9990539550781
91,1.5275975465774536,0,6895,34.474998474121094,364.5266418457031
92,0.0002392133028479293,0,6895,34.474998474121094,364.5268859863281
93,1.7436827421188354,0,6895,34.474998474121094,366.27056884765625
94,4.406795024871826,137,7032,35.15999984741211,370.6773681640625
95,4.491326808929443,0,7032,35.15999984741211,375.168701171875
96,1.4424183368682861,10,7042,35.21000289916992,376.6111145019531
97,3.6250267028808594,0,7042,35.21000289916992,380.23614501953125
98,5.435135364532471,155,7197,35.98500061035156,385.6712951660156
99,0.4171382486820221,0,7197,35.98500061035156,386.08843994140625
100,0.0006083647022023797,0,7197,35.98500061035156,386.08905029296875
101,2.8200817108154297,0,7197,35.98500061035156,388.90911865234375
102,19.889070510864258,476,7673,38.3650016784668,408.7981872558594
103,1.0672963857650757,0,7673,38.3650016784668,409.865478515625
104,0.0004895553574897349,0,7673,38.3650016784668,409.865966796875
105,3.723478317260742,0,7673,38.3650016784668,413.5894470214844
106,0.001626809360459447,0,7673,38.3650016784668,413.591064453125
107,0.4220176339149475,0,7673,38.3650016784668,414.0130920410156
108,0.0006604194641113281,0,7673,38.3650016784668,414.0137634277344
109,2.2462997436523438,0,7673,38.3650016784668,416.26007080078125
110,19.03253173828125,346,8019,40.095001220703125,435.2926025390625
111,2.8270838260650635,0,8019,40.095001220703125,438.11968994140625
112,0.000367165805073455,0,8019,40.095001220703125,438.12005615234375
113,2.152379274368286,0,8019,40.095001220703125,440.2724304199219
114,0.00019073484872933477,0,8019,40.095001220703125,440.2726135253906
115,1.5490959882736206,0,8019,40.095001220703125,441.82171630859375
116,0.0043050446547567844,0,8019,40.095001220703125,441.8260192871094
117,2.042127847671509,0,8019,40.095001220703125,443.8681335449219
118,9.633892059326172,277,8296,41.47999954223633,453.50201416015625
119,4.021186351776123,0,8296,41.47999954223633,457.523193359375
120,0.5686402320861816,9,8305,41.525001525878906,458.0918273925781
121,0.6988702416419983,0,8305,41.525001525878906,458.79071044921875
122,0.0004045168461743742,0,8305,41.525001525878906,458.7911071777344
123,0.6378637552261353,0,8305,41.525001525878906,459.4289855957031
124,0.00112374615855515,0,8305,41.525001525878906,459.43011474609375
125,3.5253913402557373,0,8305,41.525001525878906,462.95550537109375
126,0.0004498163762036711,0,8305,41.525001525878906,462.9559631347656
127,2.999485492706299,0,8305,41.525001525878906,465.9554443359375
128,0.00046809512423351407,0,8305,41.525001525878906,465.9559020996094
129,2.6538729667663574,0,8305,41.525001525878906,468.6097717285156
130,0.0002900759282056242,0,8305,41.525001525878906,468.6100769042969
131,1.2729727029800415,0,8305,41.525001525878906,469.883056640625
132,2.781550028885249e-05,0,8305,41.525001525878906,469.8830871582031
133,0.5735898017883301,0,8305,41.525001525878906,470.4566650390625
134,0.00015894570969976485,0,8305,41.525001525878906,470.4568176269531
135,2.4189236164093018,0,8305,41.525001525878906,472.875732421875
136,0.0006167093524709344,0,8305,41.525001525878906,472.8763427734375
137,1.242382526397705,0,8305,41.525001525878906,474.11871337890625
138,0.5750775933265686,1,8306,41.53000259399414,474.69378662109375
139,1.7143402099609375,0,8306,41.53000259399414,476.40814208984375
140,0.0015719730872660875,0,8306,41.53000259399414,476.40972900390625
141,1.9500755071640015,0,8306,41.53000259399414,478.35980224609375
142,4.609425741364248e-05,0,8306,41.53000259399414,478.35986328125
143,1.1292335987091064,0,8306,41.53000259399414,479.4891052246094
144,0.0003759066166821867,0,8306,41.53000259399414,479.4894714355469
145,1.0204837322235107,0,8306,41.53000259399414,480.50994873046875
146,6.914138793945312e-05,0,8306,41.53000259399414,480.510009765625
147,1.4966256618499756,0,8306,41.53000259399414,482.0066223144531
148,0.0007351239328272641,0,8306,41.53000259399414,482.0073547363281
149,3.2902727127075195,0,8306,41.53000259399414,485.2976379394531
150,0.00043869015644304454,0,8306,41.53000259399414,485.2980651855469
151,1.681443452835083,0,8306,41.53000259399414,486.9795227050781
152,0.17879480123519897,0,8306,41.53000259399414,487.1583251953125
153,1.0370408296585083,0,8306,41.53000259399414,488.19537353515625
154,8.265177166322246e-05,0,8306,41.53000259399414,488.1954650878906
155,0.243730366230011,0,8306,41.53000259399414,488.439208984375
156,3.0199686079868115e-05,0,8306,41.53000259399414,488.4392395019531
157,2.6989264488220215,0,8306,41.53000259399414,491.1381530761719
158,0.07257121056318283,0,8306,41.53000259399414,491.2107238769531
159,1.906363844871521,0,8306,41.53000259399414,493.1170959472656
160,0.0004982948303222656,0,8306,41.53000259399414,493.1175842285156
161,4.367965221405029,0,8306,41.53000259399414,497.48553466796875
162,26.130022048950195,303,8609,43.04499816894531,523.6155395507812
163,2.754957437515259,0,8609,43.04499816894531,526.3704833984375
164,0.010545650497078896,0,8609,43.04499816894531,526.3810424804688
165,1.0150636434555054,0,8609,43.04499816894531,527.3961181640625
166,1.992191195487976,18,8627,43.1349983215332,529.3883056640625
167,3.6722238063812256,0,8627,43.1349983215332,533.060546875
168,19.504487991333008,397,9024,45.12000274658203,552.5650634765625
169,1.4785264730453491,0,9024,45.12000274658203,554.0435791015625
170,0.0007549937581643462,0,9024,45.12000274658203,554.0443115234375
171,2.319129467010498,0,9024,45.12000274658203,556.3634643554688
172,0.00010331471276003867,0,9024,45.12000274658203,556.3635864257812
173,1.7130887508392334,0,9024,45.12000274658203,558.07666015625
174,0.001692771795205772,0,9024,45.12000274658203,558.078369140625
175,3.4468135833740234,0,9024,45.12000274658203,561.5252075195312
176,13.392818450927734,299,9323,46.61499786376953,574.9180297851562
177,0.4673014283180237,0,9323,46.61499786376953,575.3853149414062
178,3.597806426114403e-05,0,9323,46.61499786376953,575.3853759765625
179,0.03908158093690872,0,9323,46.61499786376953,575.4244384765625
180,4.410743713378906e-05,0,9323,46.61499786376953,575.4244995117188
181,4.107774257659912,0,9323,46.61499786376953,579.5322875976562
182,16.018505096435547,254,9577,47.88500213623047,595.55078125
183,4.900489807128906,0,9577,47.88500213623047,600.4512939453125
184,15.25806999206543,119,9696,48.47999954223633,615.7093505859375
185,0.1636611968278885,0,9696,48.47999954223633,615.8729858398438
186,0.00019491632701829076,0,9696,48.47999954223633,615.8731689453125
187,4.055704593658447,0,9696,48.47999954223633,619.9288940429688
188,10.58602523803711,84,9780,48.89999771118164,630.514892578125
189,1.3156116008758545,0,9780,48.89999771118164,631.8305053710938
190,0.00013113261957187206,0,9780,48.89999771118164,631.8306274414062
191,1.877765417098999,0,9780,48.89999771118164,633.7083740234375
192,0.0003461042942944914,0,9780,48.89999771118164,633.708740234375
193,2.3657164573669434,0,9780,48.89999771118164,636.074462890625
194,10.265975952148438,138,9918,49.59000015258789,646.3404541015625
195,4.459619998931885,0,9918,49.59000015258789,650.800048828125
196,18.240131378173828,180,10098,50.48999786376953,669.0401611328125
197,3.724921703338623,0,10098,50.48999786376953,672.7650756835938
198,8.186975479125977,80,10178,50.88999938964844,680.9520263671875
199,3.905113458633423,0,10178,50.88999938964844,684.8571166992188
200,5.869638919830322,60,10238,51.19000244140625,690.7267456054688
201,1.4257344007492065,0,10238,51.19000244140625,692.1524658203125
202,0.0018159548053517938,0,10238,51.19000244140625,692.154296875
203,1.081308126449585,0,10238,51.19000244140625,693.235595703125
204,5.4540276527404785,9,10247,51.23500061035156,698.6896362304688
205,0.6191217303276062,0,10247,51.23500061035156,699.3087768554688
206,0.00040888783405534923,0,10247,51.23500061035156,699.3092041015625
207,0.6973683834075928,0,10247,51.23500061035156,700.006591796875
208,0.00016053517174441367,0,10247,51.23500061035156,700.0067749023438
209,2.4857373237609863,0,10247,51.23500061035156,702.4924926757812
210,18.117219924926758,136,10383,51.915000915527344,720.6097412109375
211,1.3004801273345947,0,10383,51.915000915527344,721.9102172851562
212,0.0010303668677806854,0,10383,51.915000915527344,721.9112548828125
213,0.5743585824966431,0,10383,51.915000915527344,722.485595703125
214,4.626899719238281,128,10511,52.55500030517578,727.1124877929688
215,4.204873561859131,0,10511,52.55500030517578,731.3173828125
216,13.715036392211914,143,10654,53.27000045776367,745.0324096679688
217,1.5133118629455566,0,10654,53.27000045776367,746.5457153320312
218,0.00018159720639232546,0,10654,53.27000045776367,746.5458984375
219,3.4010250568389893,0,10654,53.27000045776367,749.9468994140625
220,12.8118314743042,35,10689,53.44499969482422,762.7587280273438
221,0.016387520357966423,0,10689,53.44499969482422,762.7750854492188
222,0.0005854169139638543,0,10689,53.44499969482422,762.7756958007812
223,2.943998336791992,0,10689,53.44499969482422,765.7196655273438
224,0.0003399451379664242,0,10689,53.44499969482422,765.7200317382812
225,1.6811811923980713,0,10689,53.44499969482422,767.4011840820312
226,11.661547660827637,79,10768,53.84000015258789,779.062744140625
227,2.7775344848632812,0,10768,53.84000015258789,781.8402709960938
228,32.40201187133789,546,11314,56.56999969482422,814.2423095703125
229,4.678886413574219,0,11314,56.56999969482422,818.9212036132812
230,12.429670333862305,310,11624,58.119998931884766,831.3508911132812
231,0.5396414399147034,0,11624,58.119998931884766,831.8905029296875
232,0.00021537144493777305,0,11624,58.119998931884766,831.8907470703125
233,3.8272831439971924,0,11624,58.119998931884766,835.718017578125
234,10.17977237701416,262,11886,59.429996490478516,845.8977661132812
235,4.2846903800964355,0,11886,59.429996490478516,850.1824340820312
236,17.163021087646484,251,12137,60.685001373291016,867.345458984375
237,4.631616592407227,0,12137,60.685001373291016,871.97705078125
238,16.87012481689453,279,12416,62.08000183105469,888.84716796875
239,0.34818747639656067,0,12416,62.08000183105469,889.1953735351562
240,6.038376523065381e-05,0,12416,62.08000183105469,889.1954345703125
241,1.5498100519180298,0,12416,62.08000183105469,890.7452392578125
242,0.0007480134372599423,0,12416,62.08000183105469,890.7459716796875
243,2.170623540878296,0,12416,62.08000183105469,892.9165649414062
244,11.172266006469727,153,12569,62.84499740600586,904.0888061523438
245,1.681990146636963,0,12569,62.84499740600586,905.7708129882812
246,9.311891555786133,163,12732,63.660003662109375,915.0827026367188
