Primitive Index,duration,collected,total,percentage,totalDuration
0,6.1663336753845215,253,253,1.2649999856948853,6.1663336753845215
1,4.040329456329346,0,253,1.2649999856948853,10.206663131713867
2,10.873824119567871,354,607,3.0349998474121094,21.080486297607422
3,0.4138851761817932,0,607,3.0349998474121094,21.49437141418457
4,0.0009346007718704641,0,607,3.0349998474121094,21.49530601501465
5,0.9253118634223938,0,607,3.0349998474121094,22.420618057250977
6,0.0002519289555493742,0,607,3.0349998474121094,22.420869827270508
7,4.04528284072876,0,607,3.0349998474121094,26.46615219116211
8,9.450679779052734,304,911,4.554999828338623,35.916831970214844
9,1.5020750761032104,0,911,4.554999828338623,37.418907165527344
10,0.00023882339883130044,0,911,4.554999828338623,37.41914749145508
11,3.984485626220703,0,911,4.554999828338623,41.40363311767578
12,9.797282218933105,278,1189,5.945000171661377,51.2009162902832
13,4.057513236999512,0,1189,5.945000171661377,55.25843048095703
14,12.827963829040527,321,1510,7.549999713897705,68.08639526367188
15,4.0204973220825195,0,1510,7.549999713897705,72.10689544677734
16,13.066184997558594,387,1897,9.485000610351562,85.17308044433594
17,0.454976350069046,0,1897,9.485000610351562,85.62805938720703
18,0.00023841990332584828,0,1897,9.485000610351562,85.6282958984375
19,4.341500282287598,0,1897,9.485000610351562,89.96979522705078
20,12.606433868408203,246,2143,10.71500015258789,102.57623291015625
21,2.8289778232574463,0,2143,10.71500015258789,105.40521240234375
22,9.02191162109375,70,2213,11.065000534057617,114.4271240234375
23,1.721207618713379,0,2213,11.065000534057617,116.14833068847656
24,0.004498958587646484,1,2214,11.069999694824219,116.15283203125
25,4.432528018951416,0,2214,11.069999694824219,120.58535766601562
26,11.347806930541992,327,2541,12.704999923706055,131.93316650390625
27,1.5308244228363037,0,2541,12.704999923706055,133.4639892578125
28,0.00019750444334931672,0,2541,12.704999923706055,133.4641876220703
29,3.759690523147583,0,2541,12.704999923706055,137.223876953125
30,0.9638000130653381,25,2566,12.829999923706055,138.18768310546875
31,4.953359127044678,0,2566,12.829999923706055,143.1410369873047
32,0.8698896169662476,0,2566,12.829999923706055,144.01092529296875
33,4.615515232086182,0,2566,12.829999923706055,148.62643432617188
34,0.8347726464271545,4,2570,12.850000381469727,149.46121215820312
35,2.785024642944336,0,2570,12.850000381469727,152.24623107910156
36,0.04022878780961037,0,2570,12.850000381469727,152.2864532470703
37,2.2190306186676025,0,2570,12.850000381469727,154.50547790527344
38,0.0010486443061381578,0,2570,12.850000381469727,154.50653076171875
39,1.868532657623291,0,2570,12.850000381469727,156.37506103515625
40,0.006883568596094847,0,2570,12.850000381469727,156.38194274902344
41,3.3519599437713623,0,2570,12.850000381469727,159.73390197753906
42,26.038347244262695,803,3373,16.864999771118164,185.77224731445312
43,4.276622295379639,0,3373,16.864999771118164,190.0488739013672
44,1.814630389213562,32,3405,17.024999618530273,191.86351013183594
45,4.135406970977783,0,3405,17.024999618530273,195.99891662597656
46,3.75024151802063,73,3478,17.389999389648438,199.74916076660156
