Primitive Index,duration,collected,total,percentage,totalDuration
0,6.1663336753845215,253,253,1.2649999856948853,6.1663336753845215
1,0.21933558583259583,0,253,1.2649999856948853,6.385669231414795
2,4.6104960347292945e-05,0,253,1.2649999856948853,6.385715484619141
3,4.950386047363281,0,253,1.2649999856948853,11.336101531982422
4,12.510883331298828,311,564,2.820000171661377,23.84698486328125
5,1.279396891593933,0,564,2.820000171661377,25.126380920410156
6,0.0004895527963526547,0,564,2.820000171661377,25.12687110900879
7,0.5577422380447388,0,564,2.820000171661377,25.684614181518555
8,0.0002392133028479293,0,564,2.820000171661377,25.684852600097656
9,0.056673113256692886,0,564,2.820000171661377,25.741525650024414
10,0.0002574920654296875,0,564,2.820000171661377,25.741783142089844
11,1.9551036357879639,0,564,2.820000171661377,27.69688606262207
12,0.00021378198289312422,0,564,2.820000171661377,27.697099685668945
13,1.3862380981445312,0,564,2.820000171661377,29.083337783813477
14,0.00010331471276003867,0,564,2.820000171661377,29.08344078063965
15,2.590383291244507,0,564,2.820000171661377,31.673824310302734
16,0.0013399124145507812,0,564,2.820000171661377,31.67516326904297
17,0.2922546863555908,0,564,2.820000171661377,31.967418670654297
18,0.00553131103515625,0,564,2.820000171661377,31.972949981689453
19,3.15346097946167,0,564,2.820000171661377,35.12641143798828
20,11.85196590423584,376,940,4.699999809265137,46.97837829589844
21,4.815186023712158,0,940,4.699999809265137,51.79356384277344
22,11.444544792175293,240,1180,5.900000095367432,63.23810958862305
23,2.805724859237671,0,1180,5.900000095367432,66.04383087158203
24,10.627297401428223,276,1456,7.28000020980835,76.67112731933594
25,3.3208401203155518,0,1456,7.28000020980835,79.9919662475586
26,4.412913799285889,125,1581,7.904999732971191,84.40487670898438
27,0.03815305605530739,0,1581,7.904999732971191,84.44303131103516
28,3.795661177719012e-05,0,1581,7.904999732971191,84.44306945800781
29,1.2017557621002197,0,1581,7.904999732971191,85.64482879638672
30,0.00039329129504039884,0,1581,7.904999732971191,85.64522552490234
31,3.980212926864624,0,1581,7.904999732971191,89.62543487548828
32,0.39508166909217834,5,1586,7.930000305175781,90.02051544189453
33,0.031126689165830612,0,1586,7.930000305175781,90.05164337158203
34,2.702077108551748e-05,0,1586,7.930000305175781,90.05167388916016
35,1.3914453983306885,0,1586,7.930000305175781,91.44312286376953
36,0.0004712740483228117,0,1586,7.930000305175781,91.44359588623047
37,0.3785647451877594,0,1586,7.930000305175781,91.82215881347656
38,0.00029087066650390625,0,1586,7.930000305175781,91.82244873046875
39,2.628551483154297,0,1586,7.930000305175781,94.45100402832031
40,0.00045061108539812267,0,1586,7.930000305175781,94.45145416259766
41,3.191680431365967,0,1586,7.930000305175781,97.64313507080078
42,0.0006111462716944516,0,1586,7.930000305175781,97.64374542236328
43,0.16708728671073914,0,1586,7.930000305175781,97.81082916259766
44,0.0004824002389796078,0,1586,7.930000305175781,97.81130981445312
45,3.171233892440796,0,1586,7.930000305175781,100.9825439453125
46,12.541231155395508,213,1799,8.994999885559082,113.52377319335938
47,3.783520221710205,0,1799,8.994999885559082,117.30729675292969
48,18.253393173217773,444,2243,11.21500015258789,135.56068420410156
