Primitive Index,duration,collected,total,percentage,totalDuration
0,6.1663336753845215,253,253,1.2649999856948853,6.1663336753845215
1,3.5775978565216064,0,253,1.2649999856948853,9.743931770324707
2,9.043991088867188,329,582,2.9100000858306885,18.787921905517578
3,4.691298484802246,0,582,2.9100000858306885,23.47922134399414
4,7.406740665435791,203,785,3.9250001907348633,30.885961532592773
5,1.326395034790039,0,785,3.9250001907348633,32.21235656738281
6,4.490227365749888e-05,0,785,3.9250001907348633,32.21240234375
7,3.8677918910980225,0,785,3.9250001907348633,36.08019256591797
8,7.169593811035156,59,844,4.21999979019165,43.249786376953125
9,4.09879207611084,0,844,4.21999979019165,47.34857940673828
10,6.006447792053223,144,988,4.940000057220459,53.35502624511719
11,1.1963330507278442,0,988,4.940000057220459,54.551361083984375
12,0.0003051268868148327,0,988,4.940000057220459,54.551666259765625
13,4.413702487945557,0,988,4.940000057220459,58.965370178222656
14,13.733073234558105,355,1343,6.714999675750732,72.69844055175781
15,2.3814759254455566,0,1343,6.714999675750732,75.07991790771484
16,6.706177711486816,201,1544,7.720000267028809,81.78609466552734
17,4.27857780456543,0,1544,7.720000267028809,86.0646743774414
18,19.040178298950195,563,2107,10.53499984741211,105.10485076904297
19,2.04144549369812,0,2107,10.53499984741211,107.14629364013672
20,0.0009139464818872511,0,2107,10.53499984741211,107.14720916748047
21,0.0784587636590004,0,2107,10.53499984741211,107.22566986083984
22,0.0007820128812454641,0,2107,10.53499984741211,107.22644805908203
23,1.315858244895935,0,2107,10.53499984741211,108.54230499267578
24,0.00011841455852845684,0,2107,10.53499984741211,108.54242706298828
25,4.664609432220459,0,2107,10.53499984741211,113.20703887939453
26,19.161911010742188,528,2635,13.175000190734863,132.36895751953125
27,4.385858535766602,0,2635,13.175000190734863,136.75482177734375
28,12.746546745300293,321,2956,14.779999732971191,149.50137329101562
29,0.00699525186792016,0,2956,14.779999732971191,149.50836181640625
30,8.861363312462345e-05,0,2956,14.779999732971191,149.50845336914062
31,0.1009737178683281,0,2956,14.779999732971191,149.6094207763672
32,6.635983299929649e-05,0,2956,14.779999732971191,149.60948181152344
33,4.188695907592773,0,2956,14.779999732971191,153.7981719970703
34,9.213923454284668,146,3102,15.510000228881836,163.01210021972656
35,0.9338617920875549,0,3102,15.510000228881836,163.9459686279297
36,0.00026464552502147853,0,3102,15.510000228881836,163.94622802734375
37,4.8506293296813965,0,3102,15.510000228881836,168.79685974121094
38,17.08955192565918,377,3479,17.395000457763672,185.88641357421875
39,2.740642786026001,0,3479,17.395000457763672,188.62705993652344
40,5.913590431213379,154,3633,18.16499900817871,194.5406494140625
41,2.7990410327911377,0,3633,18.16499900817871,197.33969116210938
42,0.0003735226346179843,0,3633,18.16499900817871,197.34005737304688
43,1.3065801858901978,0,3633,18.16499900817871,198.64663696289062
44,4.709938049316406,120,3753,18.764999389648438,203.3565673828125
45,4.0809102058410645,0,3753,18.764999389648438,207.43748474121094
46,0.7045804262161255,7,3760,18.799999237060547,208.14205932617188
47,3.955580949783325,0,3760,18.799999237060547,212.09764099121094
