Primitive Index,duration,collected,total,percentage,totalDuration
0,6.1663336753845215,253,253,1.2649999856948853,6.1663336753845215
1,3.182372808456421,0,253,1.2649999856948853,9.348706245422363
2,13.629637718200684,471,724,3.620000123977661,22.978343963623047
3,1.1430025100708008,0,724,3.620000123977661,24.12134552001953
4,0.00015020421415101737,0,724,3.620000123977661,24.121496200561523
5,3.5278306007385254,0,724,3.620000123977661,27.64932632446289
6,0.909593939781189,24,748,3.740000009536743,28.55891990661621
7,0.12859955430030823,0,748,3.740000009536743,28.687519073486328
8,0.0007458527688868344,0,748,3.740000009536743,28.688264846801758
9,3.8918492794036865,0,748,3.740000009536743,32.58011245727539
10,0.0011773903388530016,0,748,3.740000009536743,32.58129119873047
11,2.860741138458252,0,748,3.740000009536743,35.44203186035156
12,0.0001831849367590621,0,748,3.740000009536743,35.44221496582031
13,2.9444549083709717,0,748,3.740000009536743,38.38666915893555
14,0.0014678636798635125,0,748,3.740000009536743,38.38813781738281
15,0.8795143365859985,0,748,3.740000009536743,39.26765060424805
16,0.00033974647521972656,0,748,3.740000009536743,39.26799011230469
17,2.4859282970428467,0,748,3.740000009536743,41.7539176940918
18,1.1263800859451294,2,750,3.750000238418579,42.88029861450195
19,1.5299770832061768,0,750,3.750000238418579,44.410274505615234
20,18.489471435546875,585,1335,6.674999713897705,62.89974594116211
21,1.8468365669250488,0,1335,6.674999713897705,64.74658203125
22,0.0014124349690973759,0,1335,6.674999713897705,64.74799346923828
23,1.9207454919815063,0,1335,6.674999713897705,66.66873931884766
24,4.3511390686035156e-05,0,1335,6.674999713897705,66.66878509521484
25,1.9252572059631348,0,1335,6.674999713897705,68.59403991699219
26,0.0006230672006495297,0,1335,6.674999713897705,68.59466552734375
27,1.8486597537994385,0,1335,6.674999713897705,70.44332885742188
28,12.652066230773926,415,1750,8.75,83.09539794921875
29,0.13122424483299255,0,1750,8.75,83.22662353515625
30,0.0002221266331616789,0,1750,8.75,83.22684478759766
31,3.4890897274017334,0,1750,8.75,86.71593475341797
32,13.184454917907715,367,2117,10.585000038146973,99.900390625
33,3.4750399589538574,0,2117,10.585000038146973,103.37542724609375
34,6.850001335144043,125,2242,11.210000038146973,110.22542572021484
35,1.3269588947296143,0,2242,11.210000038146973,111.55238342285156
36,0.002363522769883275,0,2242,11.210000038146973,111.55474853515625
37,3.8457212448120117,0,2242,11.210000038146973,115.40046691894531
38,7.441219329833984,63,2305,11.524999618530273,122.84169006347656
39,0.10288958996534348,0,2305,11.524999618530273,122.944580078125
40,0.0002493484935257584,0,2305,11.524999618530273,122.94483184814453
41,3.9186782836914062,0,2305,11.524999618530273,126.86351013183594
42,7.6890363693237305,187,2492,12.460000038146973,134.55255126953125
43,1.07134211063385,0,2492,12.460000038146973,135.62388610839844
44,0.00044306277413852513,0,2492,12.460000038146973,135.62432861328125
45,4.526157379150391,0,2492,12.460000038146973,140.15048217773438
